case_id,dataset,mode,avg_delta_ppl,method_ratio,gate_s,extended,early,batched,combos
hard_serial,hard,serial,-0.049633,4.144,53.648,4,0,0,"0,6/2,0,7,12/0,6/0,6"
hard_batched_before,hard,batched_before,-0.049778,6.254,79.524,4,0,1,"0,6/2,0,7,12/0,6/0,6"
hard_batched_opt,hard,batched_opt,-0.049778,4.879,61.139,4,0,1,"0,6/2,0,7,12/0,6/0,6"
war_serial,war,serial,-2.135311,2.603,6.659,0,2,0,"0,7/0,7"
war_batched_before,war,batched_before,-2.133787,3.304,8.689,0,2,1,"0,7/0,7"
war_batched_opt,war,batched_opt,-2.133787,2.892,7.462,0,2,1,"0,7/0,7"
monte_serial,monte,serial,-0.219215,2.600,6.641,2,0,0,"2,7/2,0"
monte_batched_before,monte,batched_before,-0.251805,3.376,8.466,2,0,1,"2,7/2,0"
monte_batched_opt,monte,batched_opt,-0.251805,2.953,7.467,2,0,1,"2,7/2,0"
