case_id,task,mode,blocks,avg_delta_ppl,old_gate_s,corrected_gate_s,corrected_initial_gate_s,corrected_extension_gate_s,old_method_ratio,corrected_method_ratio,extended,skipped,combos
hard_base,hard,base,4,-0.04963256962535256,53.64761170279235,89.6236840065103,62.83429291844368,26.789391088066623,4.144195806438005,6.226846438549734,4,0,"0,6/2,0,7,12/0,6/0,6"
hard_skip,hard,skip,4,-0.04963256962535256,52.69572771131061,88.03304435801692,61.69940280611627,26.333641551900655,4.151033892569993,6.235792587853289,4,0,"0,6/2,0,7,12/0,6/0,6"
needle_base,needle,base,4,-0.00016552568177813365,39.9085866746027,81.70528264320455,61.74487555446103,19.960407088743523,3.400906494427534,5.869179296896664,4,0,"2,0/2,0/2,0,7,12/2,0"
needle_skip,needle,skip,4,-2.8786174069095338e-05,58.777189678745344,67.42321001854725,60.87739254254848,6.545817475998774,4.558996692567383,5.076808641508044,1,3,"2,0/2,0/2,0/2,0"
ruler_multineedle_base,ruler_multineedle,base,3,7.392180945253735e-05,16.649830147856846,42.86829961743206,34.53748428984545,8.330815327586606,2.78090136102897,5.5339714371134505,3,0,"2,0/2,0/2,0"
ruler_multineedle_skip,ruler_multineedle,skip,3,7.392180945253735e-05,21.375940315192565,39.2216010694392,34.31330198654905,4.908299082890153,3.3005226294493215,5.192689344301404,2,1,"2,0/2,0/2,0"
ruler_variable_base,ruler_variable,base,3,-0.000564053907284201,13.249248499749228,41.10340541950427,34.476584310643375,6.626821108860895,2.440723401525069,5.387566434875273,3,0,"0,13/2,0/2,0"
ruler_variable_skip,ruler_variable,skip,3,-0.000538178287305883,25.92141332384199,35.592970858560875,33.945105351507664,1.6478655070532113,3.800760366256662,4.83357456352249,1,2,"2,0/2,0/2,0"
ruler_topicswitch_base,ruler_topicswitch,base,3,0.00013947970591599024,9.930737278191373,39.542795130982995,34.57429670286365,4.9684984281193465,2.086483274642875,5.208995177759647,3,0,"0,13/2,0/2,0"
ruler_topicswitch_skip,ruler_topicswitch,skip,3,0.0003017116126902142,34.91785263409838,34.91785263409838,34.91785263409838,0.0,4.690256518343255,4.690256518343255,0,3,"2,0/2,0/2,0"
