case_id,task,mode,avg_delta_ppl,method_ratio,gate_s,extended,early,skip_anchor_gain,combos
hard_base,hard,base,-0.049633,4.144,53.648,4,0,0,"0,6/2,0,7,12/0,6/0,6"
hard_skip,hard,skip,-0.049633,4.151,52.696,4,0,0,"0,6/2,0,7,12/0,6/0,6"
needle_base,needle,base,-0.000166,3.401,39.909,4,0,0,"2,0/2,0/2,0,7,12/2,0"
needle_skip,needle,skip,-0.000029,4.559,58.777,1,3,3,"2,0/2,0/2,0/2,0"
ruler_multineedle_base,ruler_multineedle,base,0.000074,2.781,16.650,3,0,0,"2,0/2,0/2,0"
ruler_multineedle_skip,ruler_multineedle,skip,0.000074,3.301,21.376,2,1,1,"2,0/2,0/2,0"
ruler_variable_base,ruler_variable,base,-0.000564,2.441,13.249,3,0,0,"0,13/2,0/2,0"
ruler_variable_skip,ruler_variable,skip,-0.000538,3.801,25.921,1,2,2,"2,0/2,0/2,0"
ruler_topicswitch_base,ruler_topicswitch,base,0.000139,2.086,9.931,3,0,0,"0,13/2,0/2,0"
ruler_topicswitch_skip,ruler_topicswitch,skip,0.000302,4.690,34.918,0,3,3,"2,0/2,0/2,0"
