mode,ppl,loss,ppl_ratio_to_top2,ppl_ratio_to_baseline,limit_strategy,protected_sink_tokens,protected_recent_fraction,sink_tokens,recent_percent,mean_kept_fraction,mean_removed_per_query
baseline,32.792876371366255,3.490211308002472,0.9250978476512585,1.0,,,,,,,
top2,35.4480085048565,3.5680670738220215,1.0,1.0809667350744696,,,,,,,
top2limit3protects64r16p0,36.461671775667924,3.5962616205215454,1.028595774870471,,score_protect,64,0.16,64,16.0,0.9612997476156654,1.0642569405691964
top2limit3protects32r16p0,36.60473653956042,3.6001776456832886,1.0326316789995533,,score_protect,32,0.16,32,16.0,0.9611968597808447,1.0670863560267858
top2limit3protects64r14p0,36.76773941349896,3.6046208143234253,1.037230043782619,,score_protect,64,0.14,64,14.0,0.9588426466112014,1.1318272181919642
top2limit3protects64r12p0,36.96414088661964,3.6099482774734497,1.0427705940534127,,score_protect,64,0.12,64,12.0,0.9519153941761372,1.32232666015625
top2limit3gap8p0,37.01054587351874,3.611202895641327,1.0440796940242258,1.1286154180069188,score_gap,,,,,0.9892974457183442,0.2943202427455357
top2limit3protects128r12p0,37.07931335893829,3.6130592226982117,1.046019647446719,,score_protect,128,0.12,128,12.0,0.9526089754971591,1.303253173828125
top2limit3protects64r10p0,42.3513673363514,3.7460007071495056,1.1947460272852597,,score_protect,64,0.1,64,10.0,0.9352543818486202,1.7805044991629464
top2limit3protects256r8p0,58.936763866615806,4.07646507024765,1.6626255282730837,,score_protect,256,0.08,256,8.0,0.8821036995231327,3.2421482631138394
top2limit3protects64r8p0,64.37513073472189,4.1647273898124695,1.8160436495579793,,score_protect,64,0.08,64,8.0,0.8805152001318992,3.285831996372768
top2limit3protects256r4p0,415.03525410065623,6.028363466262817,11.70828127181799,,score_protect,256,0.04,256,4.0,0.7317982066761374,7.37554931640625
top2limit3protects64r4p0,852.4677071743805,6.748135328292847,24.04839490651751,,score_protect,64,0.04,64,4.0,0.7304990297788144,7.411276681082589
top2limit3protects64r2p0,1760.6116689819935,7.473416566848755,49.66743530150032,,score_protect,64,0.02,64,2.0,0.6648993950385558,9.215266636439733
top2limit3protects256r1p0,2367.0548657965037,7.769401788711548,66.77539770597292,,score_protect,256,0.01,256,1.0,0.628528941761364,10.2154541015625
top2limit3protects128r1p0,3879.1902779537368,8.263381719589233,109.43323592980616,,score_protect,128,0.01,128,1.0,0.629551003196023,10.187347412109375
top2limit3protects32r1p0,4756.547684149935,8.46727740764618,134.1837774468563,145.04819980668753,score_protect,32,0.01,32,1.0,0.6292174500304382,10.196520124162946
top2limit3protects64r1p0,5397.753238732054,8.593738079071045,152.27239741811005,,score_protect,64,0.01,64,1.0,0.626295530641234,10.276872907366071
top2limit3protects16r1p0,5792.518072307806,8.66432237625122,163.40884344784024,176.639523984107,score_protect,16,0.01,16,1.0,0.6242783583603891,10.332345145089286
top2limit3protects4r0p0,6341.178224521741,8.754819869995117,178.88672712468394,193.37060136812718,score_protect,4,0.0,4,0.0,0.6052872298599831,10.854601178850446
top2limit3protects4r1p0,7023.092071855166,8.856958866119385,198.1237414477876,214.16517393355335,score_protect,4,0.01,4,1.0,0.6274185775162336,10.245989118303571
top2limit3protects0r1p0,10981.794978221695,9.303994178771973,309.8000548244382,334.8835537894646,score_protect,0,0.01,0,1.0,0.596576482599432,11.094146728515625
top2limit3score,21146.066872800213,9.959209203720093,596.5375140863873,644.8372089514025,score,,,,,0.5649106508725651,11.964957101004464
