variant,mask,span,metric,hit_count,query_count,coverage
compact_kv,current,key,all,0,180096,0.0
compact_kv,current,key,any,48499,180096,0.2692952647476901
compact_kv,current,label,all,18445,180096,0.10241759950248756
compact_kv,current,label,any,18445,180096,0.10241759950248756
compact_kv,current,record,all,0,180096,0.0
compact_kv,current,record,any,64310,180096,0.35708733120113717
compact_kv,final,key,all,220,180096,0.0012215707178393745
compact_kv,final,key,any,42392,180096,0.23538557213930347
compact_kv,final,label,all,18913,180096,0.10501621357498223
compact_kv,final,label,any,18913,180096,0.10501621357498223
compact_kv,final,record,all,30,180096,0.0001665778251599147
compact_kv,final,record,any,56602,180096,0.31428793532338306
compact_kv,union,key,all,475,180096,0.0026374822316986494
compact_kv,union,key,any,72888,180096,0.4047174840085288
compact_kv,union,label,all,32995,180096,0.1832078447050462
compact_kv,union,label,any,32995,180096,0.1832078447050462
compact_kv,union,record,all,136,180096,0.0007551528073916133
compact_kv,union,record,any,91597,180096,0.5086009683724236
json_kv,current,key,all,8,211904,3.7752944729688915e-05
json_kv,current,key,any,44067,211904,0.20795737692540017
json_kv,current,label,all,19787,211904,0.09337718967079432
json_kv,current,label,any,19787,211904,0.09337718967079432
json_kv,current,record,all,0,211904,0.0
json_kv,current,record,any,112242,211904,0.5296832527937179
json_kv,final,key,all,0,211904,0.0
json_kv,final,key,any,39035,211904,0.18421077469042585
json_kv,final,label,all,19325,211904,0.09119695711265478
json_kv,final,label,any,19325,211904,0.09119695711265478
json_kv,final,record,all,0,211904,0.0
json_kv,final,record,any,100371,211904,0.4736626019329508
json_kv,union,key,all,15,211904,7.078677136816671e-05
json_kv,union,key,any,72002,211904,0.33978594080338265
json_kv,union,label,all,33479,211904,0.1579913545756569
json_kv,union,label,any,33479,211904,0.1579913545756569
json_kv,union,record,all,0,211904,0.0
json_kv,union,record,any,149637,211904,0.7061546738145575
needle_sentence,current,key,all,6,201600,2.9761904761904762e-05
needle_sentence,current,key,any,42408,201600,0.21035714285714285
needle_sentence,current,label,all,26002,201600,0.1289781746031746
needle_sentence,current,label,any,26002,201600,0.1289781746031746
needle_sentence,current,record,all,0,201600,0.0
needle_sentence,current,record,any,129042,201600,0.6400892857142857
needle_sentence,final,key,all,0,201600,0.0
needle_sentence,final,key,any,38758,201600,0.19225198412698413
needle_sentence,final,label,all,29213,201600,0.14490575396825398
needle_sentence,final,label,any,29213,201600,0.14490575396825398
needle_sentence,final,record,all,0,201600,0.0
needle_sentence,final,record,any,128318,201600,0.6364980158730159
needle_sentence,union,key,all,14,201600,6.944444444444444e-05
needle_sentence,union,key,any,64407,201600,0.31947916666666665
needle_sentence,union,label,all,42330,201600,0.2099702380952381
needle_sentence,union,label,any,42330,201600,0.2099702380952381
needle_sentence,union,record,all,0,201600,0.0
needle_sentence,union,record,any,160132,201600,0.7943055555555556
topic_table,current,key,all,40,211456,0.00018916464891041162
topic_table,current,key,any,45962,211456,0.21735963983050846
topic_table,current,label,all,16411,211456,0.07760952633171912
topic_table,current,label,any,16411,211456,0.07760952633171912
topic_table,current,record,all,0,211456,0.0
topic_table,current,record,any,115702,211456,0.5471682052058111
topic_table,final,key,all,48,211456,0.00022699757869249396
topic_table,final,key,any,43131,211456,0.2039715118038741
topic_table,final,label,all,16453,211456,0.07780814921307506
topic_table,final,label,any,16453,211456,0.07780814921307506
topic_table,final,record,all,0,211456,0.0
topic_table,final,record,any,112862,211456,0.5337375151331719
topic_table,union,key,all,165,211456,0.000780304176755448
topic_table,union,key,any,71039,211456,0.33595168734866826
topic_table,union,label,all,27810,211456,0.13151672215496368
topic_table,union,label,any,27810,211456,0.13151672215496368
topic_table,union,record,all,0,211456,0.0
topic_table,union,record,any,152845,211456,0.7228217690677966
